Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+024.882,+001.074,+165.765,+0.714,+0.493,-0.599,+00.1890,-02.5040,+09.7640,-00.000267,-00.000862,-00.001328
+024.853,+001.074,+165.765,+0.716,+0.500,-0.593,+00.1660,-02.4640,+09.6880,+00.000979,+00.001669,-00.000407
+024.875,+001.065,+165.761,+0.716,+0.498,-0.602,+00.1920,-02.4500,+09.7540,-00.000518,+00.000011,+00.000414
+024.872,+001.066,+165.766,+0.713,+0.489,-0.597,+00.2050,-02.4870,+09.6640,+00.000308,+00.001614,-00.000220
+024.868,+001.064,+165.761,+0.718,+0.497,-0.598,+00.1780,-02.4750,+09.6830,+00.000649,+00.000463,+00.000453
+024.857,+001.062,+165.758,+0.714,+0.498,-0.603,+00.1780,-02.4280,+09.7330,+00.000330,-00.000986,+00.000250
+024.870,+001.066,+165.762,+0.713,+0.494,-0.592,+00.1920,-02.4600,+09.6820,+00.000687,+00.000101,-00.000015
+024.864,+001.068,+165.769,+0.710,+0.497,-0.598,+00.1910,-02.4670,+09.7500,+00.000767,-00.001018,+00.001125
+024.865,+001.070,+165.777,+0.715,+0.501,-0.599,+00.1770,-02.4660,+09.6730,+00.001197,+00.000779,-00.000775
+024.869,+001.065,+165.775,+0.714,+0.495,-0.603,+00.1860,-02.4310,+09.7470,-00.001127,-00.000019,-00.000381
+024.868,+001.067,+165.781,+0.710,+0.498,-0.592,+00.1790,-02.4840,+09.6930,+00.000002,-00.000541,+00.000936
+024.855,+001.069,+165.777,+0.718,+0.494,-0.600,+00.1700,-02.4570,+09.6970,+00.000933,-00.000225,-00.000151
+024.879,+001.070,+165.773,+0.713,+0.498,-0.592,+00.1780,-02.4690,+09.7300,+00.000906,-00.000830,-00.000397
+024.879,+001.065,+165.775,+0.715,+0.497,-0.591,+00.1740,-02.4810,+09.7130,+00.000408,-00.000125,-00.000132
+024.886,+001.064,+165.767,+0.713,+0.510,-0.599,+00.1950,-02.4770,+09.7330,+00.001081,+00.001153,+00.001039
+024.900,+001.065,+165.769,+0.713,+0.499,-0.597,+00.2010,-02.4970,+09.7590,-00.000887,+00.000332,+00.000184
+024.895,+001.070,+165.777,+0.717,+0.496,-0.602,+00.1810,-02.4250,+09.7180,-00.000476,+00.000125,-00.000830
+024.882,+001.067,+165.778,+0.719,+0.507,-0.604,+00.1690,-02.4800,+09.6940,-00.000648,+00.000031,+00.000800
+024.872,+001.068,+165.773,+0.714,+0.498,-0.594,+00.2030,-02.4920,+09.6990,+00.000437,+00.001642,+00.001024
+024.867,+001.075,+165.774,+0.716,+0.514,-0.595,+00.1870,-02.4570,+09.7160,-00.000037,-00.000169,+00.001396
+024.872,+001.068,+165.766,+0.715,+0.501,-0.595,+00.1940,-02.4680,+09.7190,-00.000094,+00.000649,+00.000471
